Num,Value
0,0.68
1,0.635
2,0.49
3,0.635
4,0.85
5,1.075
6,1.51
7,2.01
8,2.845
9,3.265
10,3.23
11,3.12
12,3.01
13,3.28
14,3.685
15,3.615
16,3.55
17,3.83
18,3.81
19,3.415
20,3.52
21,3.31
22,3.1
23,2.82
24,2.215
25,2.06
26,1.905
27,1.985
28,2.305
29,2.695
30,2.91
31,3.695
32,4.31
33,4.64
34,4.655
35,4.925
36,4.725
37,4.83
38,5.02
39,5.09
40,4.985
41,5.295
42,5.26
43,5.385
44,5.215
45,4.83
46,4.48
47,4.055
48,3.715
49,3.565
50,3.435
51,3.455
52,3.715
53,4.05
54,4.33
55,5.38
56,5.82
57,6.36
58,6.08
59,6.23
60,6.065
61,6.39
62,6.595
63,6.405
64,7.05
65,7.13
66,7.135
67,6.865
68,6.99
69,6.545
70,5.965
71,5.505
72,5.17
73,5.075
74,4.935
75,4.93
76,5.13
77,5.635
78,5.79
79,7.08
80,7.69
81,7.925
82,7.995
83,7.585
84,7.815
85,8.02
86,8.33
87,8.25
88,8.29
89,8.425
90,8.045
91,8.08
92,7.855
93,7.555
94,7.29
95,7.1
96,6.745
97,6.38
98,6.26
99,6.395
100,6.66
101,7.295
102,7.775
103,10.475
104,10.32
105,9.64
106,9.165
107,8.665
108,8.655
109,9.005
110,9.19
111,9.21
112,9.44
113,10.275
114,10.295
115,10.0
116,9.75
117,9.055
118,8.865
119,8.52
120,8.12
121,7.99
122,7.755
123,7.795
124,8.05
125,8.295
126,9.28
127,11.66
128,11.81
129,11.72
130,10.705
131,10.54
132,10.255
133,11.0
134,11.12
135,10.99
136,11.19
137,11.245
138,11.7
139,11.285
140,10.965
141,10.615
142,10.1
143,9.715
144,9.52
145,9.235
146,9.155
147,9.185
148,9.465
149,9.79
150,10.48
151,12.9
152,12.375
153,12.99
154,12.06
155,11.89
156,11.85
157,12.205
158,12.565
159,12.4
160,12.755
161,13.095
162,13.735
163,12.87
164,12.71
165,12.245
166,12.03
167,11.305
168,10.975
169,11.02
170,10.835
171,10.67
172,10.935
173,11.26
174,11.47
175,12.485
176,13.69
177,14.335
178,13.76
179,13.82
180,13.81
181,14.34
182,14.325
183,14.155
184,14.08
185,14.255
186,14.255
187,13.95
188,13.975
189,13.375
190,13.005
191,12.7
192,12.315
193,12.17
194,12.095
195,12.125
196,12.305
197,12.805
198,13.835
199,16.41
200,16.335
201,15.935
202,15.245
203,14.99
204,14.895
205,15.22
206,15.24
207,15.515
208,16.62
209,15.27
210,15.925
211,15.585
212,15.515
213,14.985
214,14.375
215,14.025
216,13.715
217,13.55
218,13.525
219,13.515
220,13.83
221,14.095
222,14.965
223,17.175
224,17.83
225,17.49
226,16.71
227,16.66
228,16.625
229,17.015
230,16.94
231,17.0
232,17.05
233,17.225
234,17.91
235,16.88
236,16.57
237,16.285
238,15.855
239,15.45
240,15.265
241,15.05
242,14.82
243,14.9
244,15.3
245,15.6
246,16.455
247,18.69
248,19.075
249,18.745
250,18.05
251,17.8
252,17.975
253,18.36
254,18.44
255,18.24
256,18.52
257,18.535
258,18.92
259,18.25
260,18.155
261,17.74
262,17.055
263,16.895
264,16.475
265,16.41
266,16.385
267,16.37
268,16.675
269,16.935
270,17.71
271,20.485
272,20.615
273,20.315
274,19.645
275,18.975
276,19.3
277,19.845
278,19.81
279,19.985
280,20.025
281,20.215
282,20.425
283,20.23
284,19.545
285,20.035
286,18.885
287,18.21
288,18.08
289,17.93
290,17.825
291,17.87
292,18.195
293,18.305
294,19.24
295,21.765
296,21.41
297,21.625
298,21.09
299,21.025
300,21.02
301,21.225
302,21.64
303,21.715
304,21.58
305,21.51
306,22.115
307,21.785
308,21.445
309,21.2
310,20.625
311,20.145
312,19.845
313,19.52
314,19.285
315,19.315
316,19.585
317,19.935
318,20.315
319,21.53
320,22.665
321,22.53
322,22.61
323,22.74
324,22.76
325,22.54
326,22.015
327,22.83
328,23.015
329,23.07
330,22.885
331,22.45
332,22.84
333,22.64
334,21.995
335,21.385
336,20.94
337,20.83
338,20.76
339,20.695
340,21.085
341,21.225
342,21.685
343,22.9
344,23.92
345,24.035
346,23.895
347,24.035
348,23.855
349,24.095
350,24.075
351,23.35
352,21.38
353,23.06
354,24.15
355,24.105
356,23.935
357,23.7
358,23.2
359,22.56
360,22.36
361,22.195
362,22.13
363,22.105
364,22.435
365,22.815
366,23.85
367,26.205
368,26.06
369,25.01
370,25.4
371,24.86
372,24.92
373,25.68
374,25.455
375,25.69
376,25.39
377,25.72
378,26.22
379,25.635
380,25.52
381,25.045
382,24.35
383,24.19
384,23.905
385,23.61
386,23.55
387,23.575
388,23.885
389,24.175
390,24.965
391,27.54
392,27.54
393,27.405
394,26.87
395,26.58
396,26.19
397,26.7
398,26.83
399,26.945
400,27.05
401,27.4
402,27.49
403,26.895
404,26.825
405,26.38
406,25.93
407,25.51
408,25.33
409,25.17
410,25.09
411,24.96
412,25.335
413,25.69
414,26.425
415,29.01
416,28.845
417,28.64
418,28.355
419,27.92
420,27.97
421,28.105
422,28.19
423,28.36
424,28.45
425,28.61
426,28.895
427,28.68
428,28.425
429,28.045
430,27.31
431,26.57
432,26.255
433,26.635
434,26.465
435,26.465
436,26.785
437,27.055
438,27.85
439,30.48
440,30.535
441,30.32
442,29.655
443,29.37
444,29.33
445,29.25
446,29.72
447,28.61
448,27.0
449,26.975
450,27.035
451,27.095
452,27.155
453,27.215
454,27.275
455,27.335
456,27.81
457,27.455
458,27.515
459,27.575
460,27.635
461,27.695
462,27.755
463,27.815
464,27.875
465,27.935
466,27.995
467,28.055
468,28.115
469,28.175
470,28.235
471,28.295
472,28.355
473,28.415
474,28.475
475,28.535
476,28.595
477,28.655
478,28.715
479,28.775
480,29.65
481,29.58
482,29.465
483,29.45
484,29.815
485,30.105
486,30.34
487,31.625
488,32.72
489,32.825
490,33.225
491,32.61
492,32.705
493,32.8
494,32.985
495,32.855
